Vendor|VendorAbbr|CountryCode|ProductID|ProductDescription|ProductType|ProductLine|Finish|UOM|Zero81|PkQtyForPricing|Keynote
ASSA|AS|UK|10294217281|256BZ 10MM THUMB TURN ACCESSORY         |FN|256BZ|AL|EA|24.36|1|9.9
ASSA|AS|UK|10294417281|18256BZ 10MM DOUBLE CYL ACCESSORY       |FN|18256BZ|AL|EA|24.36|1|9.9
ASSA|AS|UK|10418200081|7012F F/GUARD 2.05M PUSH SIDE     079963|FN|7012F|AL|EA|148.19|1|9.9
ASSA|AS|UK|10418300081|3737 DOOR STOP SAA FINISH (FLOOR)       |ST|ASSA|AL|EA|6.22|1|9.9
ASSA|AS|UK|10418500081|4126 DOOR STOP SAA FINISH (WALL)        |ST|ASSA|AL|EA|10.66|1|9.9
ASSA|AS|UK|10440600081|7020C F/GUARD 2.05M HINGE SIDE    082196|FN|7020C|AL|EA|87.39|1|9.9
ASSA|AS|UK|10147509018|C25843 PADLOCK M/K NO KEYS|CY|5800|BC|EA|93.35|1|1.1
ASSA|AS|UK|10147709018|C35841 Padlock no Keys M/K|CY|5800|BC|EA|126.39|1|1.1
ASSA|AS|UK|10515200000|P600-SERIES CUT KEY SUPPLIED WITH CYL|CY|P600|BC|EA|7.83|1|1.1
ASSA|AS|UK|10515300000|P600-SERIES CUT KEY SUPPLIED LATER|CY|P600|BC|EA|11.3|1|1.1
ASSA|AS|UK|92310212066|777 Lockset [227R] 923102|LO|MODULAR|BL|EA|66.17|1|2.1
ASSA|AS|UK|53222200084|ASSA 22CL CODELOCK - BLACK|EM|SOLICODE|BLK|EA|240.38|1|7.2
ASSA|AS|UK|45128310002|EMERGENCY RELEASE KEY FOR NEW DC265|CY|ASSA|BN|EA|2.9|1|1.1
ASSA|AS|UK|80732210002|8061 EMER ACCS FOR SCAN OVAL CYLINDER   |CY|ASSA|BN|EA|50.25|1|1.1
ASSA|AS|UK|10003020857|14/5 12V ELECTRIC STRIKE (M/D)|ES|14E|BZ|EA|109.39|1|10.1
ASSA|AS|UK|10003820857|114/10 12V ELECTRIC STRIKE (M/D)|ES|114E|BZ|EA|125.98|1|10.1
ASSA|AS|UK|10038720857|14/510 12V ELECTRIC STRIKE (M/D)|ES|14E|BZ|EA|125.98|1|10.1
ASSA|AS|UK|10038920857|114/510 12V ELECTRIC STRIKE (M/D)|ES|114E|BZ|EA|125.98|1|10.1
ASSA|AS|UK|10039120857|14/505 12V ELECTRIC STRIKE (M/D)|ES|14E|BZ|EA|109.39|1|10.1
ASSA|AS|UK|10051320857|331/13 12V ELECTRIC STRIKE|ES|331E|BZ|EA|462.03|1|10.1
ASSA|AS|UK|10051420857|331/16 12V ELECTRIC STRIKE|ES|331E|BZ|EA|511.58|1|10.1
ASSA|AS|UK|10051520857|331/24 12V ELECTRIC STRIKE|ES|331E|BZ|EA|462.03|1|10.1
ASSA|AS|UK|10105120857|331/823 12V ELECTRIC STRIKE|ES|331E|BZ|EA|462.03|1|10.1
ASSA|AS|UK|10266810857|5131/13 12V ELECTRIC STRIKE|ES|5131E|BZ|EA|529.22|1|10.1
ASSA|AS|UK|35182810057|Rim Cover Case|FN|ASSA|BZ|EA|46.99|1|9.9
ASSA|AS|UK|35334161757|9787 50mm Hookbolt Lockcase|LO|9787|BZ|EA|75.35|1|2.1
ASSA|AS|UK|35345210757|2587 50mm Hookbolt Lockcase|LO|2587|BZ|EA|53.86|1|2.1
ASSA|AS|UK|35608010057|1296 FLUSH BOLT|BO|ASSA|BZ|EA|23.38|1|2.7
ASSA|AS|UK|35769972757|CONNECT 811S 35MM NARROW PROF. SET|LO|CONNECT|BZ|EA|1049.92|1|2.1
ASSA|AS|UK|35770172757|CONNECT 811S 70MM HOOKBOLT SET|LO|CONNECT|BZ|EA|1074.15|1|2.1
ASSA|AS|UK|36048816357|CONNECT 340/50 *SMARTAIR ONLY* (NO STK)|LO|CONNECT|BZ|EA|108.88|1|2.1
ASSA|AS|UK|36175216357|CONNECT 340/35 *SMARTAIR ONLY* (NO STK)|LO|CONNECT|BZ|EA|129.93|1|2.1
ASSA|AS|UK|36175316357|CONNECT 340/70 *SMARTAIR ONLY* (NO STK)|LO|CONNECT|BZ|EA|123.24|1|2.1
ASSA|AS|UK|42756710057|WASHER (THUMBTURN FOLLOWER PLATE)|FN|ASSA|BZ|EA|0.44|1|9.9
ASSA|AS|UK|46796210057|PLATE - BLANKING (FACEPLATE)|FN|ASSA|BZ|EA|5.62|1|9.9
ASSA|AS|UK|46886710557|3248 LH HINGE 2MM GAP C/W SCREWS - EN1935/CE|HI|3248|BZ|EA|5.61|1|9.3
ASSA|AS|UK|46889710757|Security Striking Plate (Hook Bolt Locks|LO|STRIKE|BZ|EA|25.56|1|2.1
ASSA|AS|UK|47082910057|8x80mm Spindle|FN|ASSA|BZ|EA|2.97|1|9.9
ASSA|AS|UK|50532000057|FACEPLATE NO. 732 FOR 75 SERIES STRIKES|LO|MODULAR|BZ|EA|67.19|1|2.1
ASSA|AS|UK|80409410357|1361 28mm Lockcase|LO|MODULAR|BZ|EA|66.46|1|2.1
ASSA|AS|UK|80507310057|Split Spindle 43mm|LO|MODULAR|BZ|EA|3.56|1|2.1
ASSA|AS|UK|80967210357|3220 RH HINGE 3.2MM C/W SCREWS-EN1935/CE|HI|3228|BZ|EA|4.26|1|9.3
ASSA|AS|UK|80967710357|3228 HINGE 3.2MM RH C/W SCREWS-EN1935/CE|HI|3228|BZ|EA|4.87|1|9.3
ASSA|AS|UK|80967710557|3228 HINGE 3.2MM LH C/W SCREWS-EN1935/CE|HI|3228|BZ|EA|4.87|1|9.3
ASSA|AS|UK|80967990057|3228 DOOR LEAF LH NO SCREWS 3.2MM GAP|HI|3228|BZ|EA|1.95|1|9.3
ASSA|AS|UK|80968090057|3228 FRAME LEAF RH NO SCREWS 3.2MM GAP|HI|3228|BZ|EA|2.19|1|9.3
ASSA|AS|UK|80968190057|3228 FRAME LEAF LH NO SCREWS 3.2MM GAP|HI|3228|BZ|EA|2.19|1|9.3
ASSA|AS|UK|81713090057|3248-05 DOOR LEAF+DOG BOLT LH W/O SCREWS|HI|3248|BZ|EA|3.3|1|9.3
ASSA|AS|UK|81713190057|3248-05 FRAME LEAF+DOG BOLT RH W/O SCREW|HI|3248|BZ|EA|9.87|1|9.3
ASSA|AS|UK|95414700057|SCANFLEX SPINDLE SUITS 32-65MM DR THICK|FN|ACCMISCSF|BZ|EA|5.25|1|9.9
ASSA|AS|UK|LS35752816357|CNCT 310/35 (WITH STRIKE)           |LO|CONNECT|BZ|EA|62.87|1|2.1
ASSA|AS|UK|LS35753016757|CNCT 311/35 (WITH STRIKE)|LO|CONNECT|BZ|EA|58.85|1|2.1
ASSA|AS|UK|LS35753116757|CNCT 311/70 (WITH STRIKE)|LO|CONNECT|BZ|EA|52.36|1|2.1
ASSA|AS|UK|LS35754116757|CNCT 411/70 (WITH STRIKE)|LO|CONNECT|BZ|EA|55.53|1|2.1
ASSA|AS|UK|LS35759416357|CNCT 236/50 (WITH STRIKE)|LO|CONNECT|BZ|EA|66.06|1|2.1
ASSA|AS|UK|LS35759516357|CNCT 236/70 (WITH STRIKE) |LO|CONNECT|BZ|EA|79.98|1|2.1
ASSA|AS|UK|LS35759616357|CNCT 640/35 RH FOL LH IN WITH STRIKE|LO|CONNECT|BZ|EA|126.15|1|2.1
ASSA|AS|UK|LS35759816557|CNCT 640/70 RH FOL LH IN (WITH STRIKE)   |LO|CONNECT|BZ|EA|119.65|1|2.1
ASSA|AS|UK|LS35759916557|CNCT 624/ 35 RH FOLL LH IN WITH STRIKE|LO|CONNECT|BZ|EA|127.62|1|2.1
ASSA|AS|UK|LS35768616357|CNCT 231/35 (WITH STRIKE)                |LO|CONNECT|BZ|EA|78.87|1|2.1
ASSA|AS|UK|LS36048816357|CNCT 340/50 SMARTAIR ONLY (WITH STRIKE)  |LO|CONNECT|BZ|EA|108.88|1|2.1
ASSA|AS|UK|LS36175216357|CONNECT 340/35 *SMARTAIR ONLY* WITH STK|LO|CONNECT|BZ|EA|133.82|1|2.1
ASSA|AS|UK|LS36175316357|CNCT 340/70 SMARTAIR ONLY (WITH STRIKE)  |LO|CONNECT|BZ|EA|123.24|1|2.1
ASSA|AS|UK|10001900000|FIXING TOOL-SECURITY SCREWS/ELEC STRIKES|OT|ASSA|n/a|EA|13.77|1|26.1
ASSA|AS|UK|10242900000|M8000 MAGNET 12/24V (MAG-03000ALM--D)|EL|M8000|n/a|EA|128.04|1|10.2
ASSA|AS|UK|10243000000|M8000X002 MONITORED (MAG-03000ALM-HD)|EL|M8000|n/a|EA|175.64|1|10.2
ASSA|AS|UK|10244500000|M8031X002 SHEARMAG 12/24 MAGS15000ALM1TD|EL|M8000|n/a|EA|508.16|1|10.2
ASSA|AS|UK|10244700000|M8005.103 L FOR M8005 (MAGAC-L300)|EL|M8000|n/a|EA|40.06|1|10.2
ASSA|AS|UK|10244800000|M8005.100 L+Z FOR M8005 (MAGAC-Z300)|EL|M8000|n/a|EA|111.98|1|10.2
